"id_invoice","id_distributor","tanggal","nama_customer","nama_barang","jumlah_barang","harga","brand","cabang_sales","group"
"IN5997","TD","2022-01-20","APOTEK TAPAK","ACYCLOVIR DUS",1,"1169.91","OGB & PH","Aceh","Apotek"
"IN6297","TD","2022-01-20","APOTEK MAJA","ALERGINE TABLET SALUT",5,"2337.5","ETIKAL","Kuningan","Apotek"
"IN6155","TA","2022-01-21","KLINIK GM","AMPICILLIN",9,"10690.6","MARCKS","Jakarta","Klinik"
"IN6144","EPM","2022-01-22","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG",13,"8700.7","VNS","Bandung","Apotek"
"IN5980","TA","2022-01-23","APOTEK TAPAK","AMPICILLIN",20,"10690.6","MARCKS","Aceh","Apotek"
"IN5991","TD","2022-01-23","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",24,"5648.3","SLCYL","Tangerang","Klinik"
"IN6028","EPM","2022-01-23","APOTEK MERDEKA","ACYCLOVIR DUS",98,"1169.91","OGB & PH","Bandung","Apotek"
"IN6039","EPM","2022-01-23","APOTEK MERDEKA","ACYCLOVIR DUS",13,"1169.91","OGB & PH","Bandung","Apotek"
"IN6052","TA","2022-01-23","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG",5,"2819.2","OGB & PH","Bekasi","Apotek"
"IN6065","EPM","2022-01-23","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",4,"5648.3","SLCYL","Tangerang","Klinik"
"IN6086","TD","2022-01-23","APOTEK SAHABAT","AMPICILLIN",14,"5780.7","VNS","Padang","Apotek"
"IN6125","TA","2022-01-23","APOTEK TAPAK","AMPICILLIN",14,"10690.6","MARCKS","Aceh","Apotek"
"IN6183","TD","2022-01-23","APOTEK SAHABAT","AMPICILLIN",25,"5780.7","VNS","Padang","Apotek"
"IN6190","TD","2022-01-23","APOTEK MERDEKA","ACYCLOVIR DUS",2,"1169.91","OGB & PH","Bandung","Apotek"
"IN6202","EPM","2022-01-23","APOTEK SAHABAT","AMPICILLIN",34,"5780.7","VNS","Padang","Apotek"
"IN6210","TA","2022-01-23","APOTEK MAJA","ERGOTAMINE COFFEINE",4,"4592.1","ETIKAL","Kuningan","Apotek"
"IN6215","TA","2022-01-23","APOTEK MERDEKA","ACYCLOVIR DUS",14,"1169.91","OGB & PH","Bandung","Apotek"
"IN6216","TA","2022-01-23","APOTEK MAJA","ERGOTAMINE COFFEINE",98,"4592.1","ETIKAL","Kuningan","Apotek"
"IN6217","TD","2022-01-23","APOTEK SAHABAT","AMPICILLIN",5,"5780.7","VNS","Padang","Apotek"
"IN6220","TD","2022-01-23","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",48,"5648.3","SLCYL","Tangerang","Klinik"
"IN6221","EPM","2022-01-23","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",25,"5648.3","SLCYL","Tangerang","Klinik"
"IN6233","EPM","2022-01-23","APOTEK MERDEKA","ACYCLOVIR DUS",24,"1169.91","OGB & PH","Bandung","Apotek"
"IN6242","EPM","2022-01-23","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",44,"5648.3","SLCYL","Tangerang","Klinik"
"IN6251","TD","2022-01-23","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG",1,"3991.9","MARCKS","Aceh","Apotek"
"IN6280","TD","2022-01-23","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",1,"5648.3","SLCYL","Tangerang","Klinik"
"IN6284","TA","2022-01-23","APOTEK MERDEKA","ACYCLOVIR DUS",76,"1169.91","OGB & PH","Bandung","Apotek"
"IN6286","TD","2022-01-23","APOTEK SAHABAT","AMPICILLIN",120,"5780.7","VNS","Padang","Apotek"
"IN6289","TD","2022-01-23","APOTEK TAPAK","AMPICILLIN",25,"10690.6","MARCKS","Aceh","Apotek"
"IN6307","EPM","2022-01-23","APOTEK MAJA","ERGOTAMINE COFFEINE",14,"4592.1","ETIKAL","Kuningan","Apotek"
"IN6308","TD","2022-01-23","APOTEK MAJA","ERGOTAMINE COFFEINE",67,"4592.1","ETIKAL","Kuningan","Apotek"
"IN6311","EPM","2022-01-23","APOTEK MAJA","ERGOTAMINE COFFEINE",7,"4592.1","ETIKAL","Kuningan","Apotek"
"IN6317","TD","2022-01-23","APOTEK TAPAK","AMPICILLIN",10,"10690.6","MARCKS","Aceh","Apotek"
"IN6318","TD","2022-01-23","APOTEK TAPAK","AMPICILLIN",22,"10690.6","MARCKS","Aceh","Apotek"
"IN6089","EPM","2022-01-25","APOTEK SAHABAT","ERGOTAMINE COFFEINE",9,"4592.1","ETIKAL","Padang","Apotek"
